"(PDH-CSV 4.0) (SE Asia Standard Time)(-420)","\\LAPTOP-13D8LAOO\Memory\Page Faults/sec","\\LAPTOP-13D8LAOO\Memory\Pages Input/sec","\\LAPTOP-13D8LAOO\Memory\Pages/sec","\\LAPTOP-13D8LAOO\Memory\Available MBytes","\\LAPTOP-13D8LAOO\Memory\% Committed Bytes In Use","\\LAPTOP-13D8LAOO\Paging File(_Total)\% Usage"
"12/20/2025 21:24:06.660","37875.315946592811088","16.115869881272374187","16.115869881272374187","1978","48.196895618037530085","5.7010577529565304999"
"12/20/2025 21:24:07.657","4091.6932212411202272","0","0","1991","48.108309076192860232","5.7010577529565304999"
"12/20/2025 21:24:08.655","22266.276304000708478","0","0","1931","48.490567050988452991","5.7010577529565304999"
"12/20/2025 21:24:09.656","59714.827729036856908","48.882798602071666494","48.882798602071666494","2081","47.673963254241726872","5.7010577529565304999"
"12/20/2025 21:24:10.651","16719.200222506893624","0","0","2066","47.754823637137846504","5.7000253267064477924"
"12/20/2025 21:24:11.669","18858.576688319579262","0","0","2023","48.014558769765905311","5.7000253267064477924"
"12/20/2025 21:24:12.651","8236.6729054288425687","16.290082384037265939","16.290082384037265939","2025","47.980896278280042111","5.7000253267064477924"
"12/20/2025 21:24:13.665","6114.7327390442887918","0","0","2022","47.998500137589523717","5.7000253267064477924"
"12/20/2025 21:24:14.660","6852.1998575706966221","0","0","2017","48.040319082336573331","5.7000253267064477924"
"12/20/2025 21:24:15.664","9387.9005175450020033","0","0","2014","48.121648898376534476","5.7000253267064477924"
"12/20/2025 21:24:16.666","4513.7490712784147036","0","0","2014","48.096084186829642704","5.7000253267064477924"
"12/20/2025 21:24:17.665","3781.812646036958995","0","0","2018","48.057531739598495335","5.7000253267064477924"
"12/20/2025 21:24:18.660","4028.4670301962278245","0","0","2019","48.052641783853211166","5.7000253267064477924"
"12/20/2025 21:24:19.661","6350.4554173750902919","1215.9383642142047393","1215.9383642142047393","2015","48.068974248149658024","5.7000253267064477924"
"12/20/2025 21:24:20.655","10566.566755070120053","34.202519961194219889","34.202519961194219889","2012","48.113101243067788459","5.7000253267064477924"
"12/20/2025 21:24:21.656","5174.4216717048757346","0","0","2008","48.105062159734096383","5.7000253267064477924"
"12/20/2025 21:24:22.655","4218.7462466670403956","0","0","2017","48.075057367811687925","5.7000253267064477924"
"12/20/2025 21:24:23.650","13895.193897049135558","54.270249561742609501","54.270249561742609501","2001","48.206871130551881777","5.6989929004563650849"
"12/20/2025 21:24:24.669","7103.0035670156694323","0","0","1997","48.224025114491588795","5.6989929004563650849"
"12/20/2025 21:24:25.668","172520.30264108153642","13944.763370701110034","13944.763370701110034","1760","49.47648084477439312","5.6979604742062814893"
"12/20/2025 21:24:26.671","71659.799090782486019","3388.7965708008455294","3388.7965708008455294","1702","49.902944068867469696","5.6979604742062814893"
"12/20/2025 21:24:27.653","108598.24552067028708","4662.1771929105543677","4662.1771929105543677","1722","49.777761066746379015","5.6979604742062814893"
"12/20/2025 21:24:28.669","34531.075803450454259","1435.6378650224889952","1435.6378650224889952","1677","49.879785196362014688","5.6969280479561987818"
"12/20/2025 21:24:29.651","5676.9309816394625159","0","0","1691","49.848645937128146954","5.6969280479561987818"
"12/20/2025 21:24:30.663","8063.4327329105799436","0","0","1690","49.866543186331760751","5.6969280479561987818"
"12/20/2025 21:24:31.658","6198.5030147995412335","18.086084335612213181","18.086084335612213181","1694","49.847178941091328852","5.6958956217061169625"
"12/20/2025 21:24:32.653","4593.7661197443039782","3.0136230831473675984","3.0136230831473675984","1711","49.730132857740422025","5.6958956217061169625"
"12/20/2025 21:24:33.649","13256.410470124072162","449.88045531517190057","449.88045531517190057","1702","49.777135171409959469","5.6958956217061169625"
